target,horizon_h,variant,model,rmse_train,mae_train,r2_train,rmse_val,mae_val,r2_val,rmse_test,mae_test,r2_test,baseline_rmse_test,baseline_mae_test
C6H6(GT),1,No IF flags,GradientBoosting,0.32124598999154663,0.20654347150391045,0.876834682137625,0.4575150444851627,0.2971467480417355,0.8658408395431156,0.3957106010331941,0.2504677198201451,0.8620974041017379,0.4265209565640069,0.23850661691197408
C6H6(GT),1,No IF flags,RandomForest,0.13015788758740526,0.0788790629280197,0.9797812647893743,0.5210119793786993,0.336755247885825,0.8260177309160219,0.4235918919077432,0.27805767642515833,0.8419798941499699,0.4265209565640069,0.23850661691197408
C6H6(GT),1,No IF flags,LinearRegression,0.4557220324177045,0.3013974781036637,0.752136229035849,0.5067021252128737,0.35619621564194,0.8354435065425523,0.5135741514944502,0.3729929707517709,0.767713812574917,0.4265209565640069,0.23850661691197408
C6H6(GT),1,With IF flags,GradientBoosting,0.3191171619700938,0.20441019979540231,0.8784616535175394,0.4721258148645366,0.30698127039127776,0.8571352559168739,0.39772453132482993,0.24848719871412187,0.8606901486751015,0.4265209565640069,0.23850661691197408
C6H6(GT),1,With IF flags,RandomForest,0.12976759150714406,0.07875820603750215,0.9799023402261418,0.5135457229373265,0.33230140139695485,0.8309684375688127,0.43054113848669084,0.2812667783750303,0.8367525594287941,0.4265209565640069,0.23850661691197408
C6H6(GT),1,With IF flags,LinearRegression,0.45458904869554945,0.29980420524868245,0.7533671396064091,0.5047167291800319,0.3550541817918804,0.8367305338682574,0.522988760776235,0.38159334680864887,0.7591194229561347,0.4265209565640069,0.23850661691197408
C6H6(GT),6,No IF flags,GradientBoosting,0.5008674614479717,0.33433311555137607,0.702093051116059,0.8735850880589993,0.5937489059825017,0.505040794663729,0.751160975156853,0.5042753148282737,0.5040397433618095,0.9639920159424528,0.6655306284539944
C6H6(GT),6,No IF flags,RandomForest,0.17475777372296217,0.10751444204884834,0.9637333030990878,0.8607549858338422,0.5884331705277404,0.5194726895584252,0.78672509855841,0.540623247796865,0.4559649844897601,0.9639920159424528,0.6655306284539944
C6H6(GT),6,No IF flags,LinearRegression,0.7552163863409519,0.5425433625229347,0.3227051010504334,1.008993450771956,0.7331368989702112,0.3397085462586594,0.8917524810962738,0.7062002613773366,0.3010123627679664,0.9639920159424528,0.6655306284539944
C6H6(GT),6,With IF flags,GradientBoosting,0.501150571808394,0.33461330561926345,0.7017561780448698,0.8768115000686197,0.5969570787318282,0.5013779772920324,0.7299887261131196,0.4862661425022724,0.5316040321339729,0.9639920159424528,0.6655306284539944
C6H6(GT),6,With IF flags,RandomForest,0.17489024287129373,0.10772656983815784,0.9636783008043623,0.8759940780583663,0.5939289297697138,0.5023072411700262,0.7772439488008667,0.5327488834198618,0.4689987529604078,0.9639920159424528,0.6655306284539944
C6H6(GT),6,With IF flags,LinearRegression,0.7487028071467485,0.5383594428387196,0.33433776535681803,1.0348002874174385,0.7481741791108937,0.305500299320944,0.9003413478511889,0.69274263662675,0.287482996582481,0.9639920159424528,0.6655306284539944
C6H6(GT),12,No IF flags,GradientBoosting,0.5668036323692678,0.3760184207202353,0.6182819521081353,1.0181806943098037,0.7164486526960945,0.3286984802029591,0.9170721977918042,0.653824972167682,0.2620305078606733,1.063391451796941,0.744347197160392
C6H6(GT),12,No IF flags,LinearRegression,0.8109846151118668,0.5796785937915128,0.2185473368931149,1.0437190779185517,0.8047360009049632,0.2946004829883613,0.9337627685758225,0.7394411793224223,0.2349242080191245,1.063391451796941,0.744347197160392
C6H6(GT),12,No IF flags,RandomForest,0.19540993983928628,0.1206246691779509,0.9546297944651237,1.0794642385526398,0.7348286873137285,0.24545623881107015,0.9423270365019124,0.6800264441035173,0.220825632912655,1.063391451796941,0.744347197160392
C6H6(GT),12,With IF flags,LinearRegression,0.8039215088687311,0.5743177041130311,0.23209986963094031,1.0767672602419314,0.8204518347211016,0.24922189576630682,0.9051652050059893,0.6836572963801736,0.28106925651960035,1.063391451796941,0.744347197160392
