datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,weekday,month
2004-03-10 18:00:00,0.34551371406538833,1.0298007994962317,-0.40259741133783616,0.057637632378326975,0.22136489084097716,-0.35418770055810517,0.8983298913422337,0.0656242538123863,0.4870773554678748,0.5136827680112269,-0.5551603428094221,-0.0938450229997514,-0.7014031435341497,18,2,3
2004-03-10 19:00:00,-0.07378510549327874,0.739027738325459,-0.630635602641007,-0.20226556129367318,-0.06484952234370742,-0.6634688108250955,1.3572916503318617,-0.3912670644832143,0.15287566236061445,-0.19347283981847982,-0.5897585220921733,-0.1593460643332139,-0.7765986022287632,19,2,3
2004-03-10 20:00:00,0.06598116769294372,1.2093959255134736,-0.7746597234640623,-0.24385007228119324,-0.1151729356509047,-0.526010539595322,1.225048431639935,0.08738098325503396,0.14282448362054648,0.05020916017689209,-0.7512166920783462,0.1845344026674653,-0.7190961926387648,20,2,3
2004-03-10 21:00:00,0.06598116769294372,1.098217990359943,-0.8226677637384141,-0.2230578167874333,-0.08686601566560623,-0.3247323567231537,1.0383521228983914,0.26143481879621516,0.21569552948603932,0.35839521899456833,-0.8550112299266003,0.512039609334779,-0.6341229962810747,21,2,3
2004-03-10 22:00:00,-0.35331765186572334,0.65350624974582,-0.9966969097329392,-0.5037532659531934,-0.43912990881598724,-0.526010539595322,1.4778663497274418,0.13089444214032925,-0.02050717090555822,0.13621457193996453,-0.8319457770714328,0.49020592889029146,-0.6292341274495363,22,2,3
2004-03-10 23:00:00,-0.6328501982381681,0.3328006675721736,-1.0747099751787608,-0.6908835653970335,-0.7096182553421727,-0.7321979464399822,1.9912811987666867,-0.3042401467126237,-0.26424825535220675,-0.24842074177822054,-0.8319457770714328,0.46837224844580394,-0.6385462585572281,23,2,3
2004-03-11 00:00:00,-0.6328501982381681,0.28148777442439016,-1.1167170104188187,-0.8052409706127136,-0.8983310552441625,-0.8647469936972637,2.477469502781123,-0.717618006122929,-0.4150159364532265,-0.7644532123566551,-0.8204130506438488,0.3373701657788782,-0.6955830615918424,0,3,3
2004-03-11 01:00:00,-0.7726164714243904,0.07196012740427453,-1.1167170104188187,-0.8364293538533536,-0.9549448952147594,-0.8647469936972637,2.4424639448920837,-0.7393747355655766,-0.4150159364532265,-0.7716203300035779,-0.8896094092093517,0.512039609334779,-0.6725355371003043,1,3,3
2004-03-11 02:00:00,-0.8424996080175017,-0.10763499861296742,-1.1587240456588765,-0.9403906313221536,-1.1530933351118489,-0.9482038012296262,2.9325417553386357,-1.087482406647939,-0.5582452334991952,-1.0344146437240769,-0.8896094092093517,0.49566434900141343,-0.6851069140956886,2,3,3
2004-03-11 03:00:00,-1.0521490177968351,-0.46682525064745134,-1.1887290708303462,-1.0027673978034337,-1.3040635750334406,-0.671005573778775,3.4226195657851877,-0.6846489387256308,-0.661269815584892,-1.3187103103853441,-0.9357403149196867,0.5229564495570229,-0.7156041434733801,3,3,3
2004-03-11 04:00:00,-1.0334624901618292,-0.46254917621846936,-1.218734096001816,-1.0443519087909536,-1.411000828311235,-1.066025176569432,3.862133792614238,-1.6531573721567778,-0.7567560136155378,-1.4524965064612345,-0.9588057677748544,0.5393317098903884,-0.7277099139133798,4,3,3
2004-03-11 05:00:00,-0.9822658812037239,-0.22736508262446206,-1.25474012620758,-1.0651441642847137,-1.4581790282867324,-1.0905712964318917,4.2510844358257875,-1.7836977488126637,-0.7944479338907927,-1.5074444084209753,-0.8550112299266003,0.3046196451121471,-0.7507574384049177,5,3,3
2004-03-11 06:00:00,-0.9822658812037239,-0.28723012463020936,-1.2067320859332282,-1.0131635255503137,-1.3292252816870394,-1.0022052649270372,3.5509732780449985,-1.3485631599597108,-0.6964489411751299,-1.3879924476389303,-0.9126748620645192,0.40832962722346305,-0.7537838810149178,6,3,3
2004-03-11 07:00:00,-0.7027333348312792,0.10616872283613014,-1.1287190204874067,-0.8468254816002337,-0.9706709618732586,-0.688014930687555,2.586375682880357,-0.6088343589096907,-0.3999391683431245,-0.7716203300035779,-0.9472730413472706,0.49020592889029146,-0.7388844712426104,7,3,3
2004-03-11 08:00:00,-0.07378510549327874,0.914346789913719,-0.9186838442871176,-0.34781134974999334,-0.2378362555871981,-0.3149139087781699,1.209490405911473,0.04386752436973866,0.04733828558990065,0.11710225821483732,-0.8780766827817678,0.37012068644560964,-0.740979700741841,8,3,3
2004-03-11 09:00:00,0.06598116769294372,0.9913161296353941,-0.7806607284983563,-0.19186943354679323,-0.04912345568520826,-0.5358289875403058,0.98778853928089,-0.19545649949938546,0.21318273480102234,-0.059686643742589356,-0.9126748620645192,0.5447901300015104,-0.6750963731549197,9,3,3
